catalog	G (grooves/mm)	m lambda1	m lambda2	RLD (nm/mm)	r (mm)	alpha (deg)	r'1 (mm)	beta1 (deg)	r'2 (mm)	beta2 (deg)	f/#	ruled	substrate
52056BK-*-028C	200	290	1020	32.3	151	5	153.2	-8.3	153.2	-17	3.5	44	50
Ê52066BK-*-018C	233.9	190	400	33	148	3	116	-5.6	113	-8.4	2.5	60	63.5
Ê52A15BK-*-224C	278.3	350	1050	30	88	6.37	118.14	-12.02	111.13	-23.77	2.5	40	45
Ê52067BK-*-040C 	282.7	190	545	14.5	235	-5.3	219	8.4	228	14.3	3.9	60	63.5
Ê52104BF-*-216C	310	470	680	33	100.9	-5.22	101	13.7	101.7	17.6	3.3	32	35
Ê52A14BK-*-221C	367.43	200	800	25.7	88	7.03	104.91	-11.29	97.9	-24.6	2.5	40	45
Ê52A14BK-*-234C	367.43	200	850	25.7	88	7.03	104.91	-11.29	97.9	-24.6	2.5	40	45
Ê52A25BK-*-255C	400	380	730	83	30	-5.66	31.96	14.52	34.19	23	1.2	24	26
Ê52097BK-*-207C	430	250	800	24.9	86.4	6	88.6	-12.24	85.4	-26.6	2.9	35	37
Ê52097BK-*-208C	430	450	850	24.9	86.4	6	85.4	17.3	83.6	28	2.9	35	37
Ê52097BK-*-209C	430	300	850	24.9	86.4	6	86.1	13.5	83.6	28	2.9	35	37
Ê52112BK-*-261C	432	190	840	26.15	86.4	6	89.4	-10.7	85.4	-26.7	3.6	24	25
Ê52107BK-*-214C	435.9	190	680	19.5	111.48	5.5	111.64	-11.82	108.25	-22.45	2.2	51	55
Ê52057BK-*-014C	435.9	190	400	19.5	109	-6.1	114	10.9	113	16.3	2.3	47	50.8
Ê52066BK-*-001C	454.27	285	720	17	130	11.3	130	-3.8	128	7.36	2.2	58	63.5
Ê52101BF-*-212C	477	200	850	31	86.9	-6.7	60.9	12.2	70.3	30.8	3.5	19	20
Ê52101BK-*-211C	477	200	850	31	86.9	-6.7	60.9	12.2	70.3	30.8	3.5	19	20
Ê52114BK-*-323C	489.87	200	800	24	77.36	6.65	66.98	-12.35	78	-30.52	2.4	28 x 28	30 x 30
Ê52099BK-*-317CL	580	340	800	16	98.2	0	100.5	11.37	100.8	29.54	3.5	37 x 27	40 x 30
Ê52129BK-*-358C	586.23	340	800	19.8	90.8	-10.78	74.9	22.7	74	41	3.2	28 x 28	37 x 37
Ê52105BF-*-198C	660	340	805	10.1	112.5	4.9	122.3	-18	133.7	-38	3	38	40
Ê52034BK-*-004C	664	340	700	18	80	-13.3	80	0.2	84	-13.6	2.7	29	32
Ê52001BK-*-021C	792.8	380	780	4.5	231	3	223	14.4	258	34.5	2.4	95	100
Ê52140BK-*-279C	800	325	800	10.7	86.3	0	85	18.2	104.5	43.82	2.7	28 x 28	30 x 30
Ê52066BK-*-002C	813.5	380	705	9.5	130	22.3	128	-4	129	11.2	2.2	60	63.5
Ê52049BK-*-012C	1300	340	650	7.8	94	-31.1	99	4.3	97	-19.1	2.9	38	42
Ê52064BK-*-008C	1803.8	753	784	1.2	345	67.5	387	-25.8	394	-29.4	6.3	50 x 50	62.5
Ê52071BK-*-007C	2197	277	313	1	575	4.9	288	-43.9	296	-50.6	10.5	55	70
